id,question,question_concept,choices,answerKey
4536489e5d8e02aadc3fcc7a55effe20,Where would you get some maps that you own?,maps,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bookstore', 'library', 'electrical circuit', 'cabinet',
       'important when traveling'], dtype=object)}",D
46bc1a50eeead10509a43a048e01194e,Where would you find a single shower curtain being used?,shower curtain,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bathtub', 'washing area', 'hotel', 'shower stall',
       'department store'], dtype=object)}",A
d312741df1b14bcbe358f4f30aff3994,"He walked into the room and had a great shock, his friends had what him?",shock,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['expected', 'wanting', 'calm', 'thundershock', 'surprised'],
      dtype=object)}",E
46ba5d2b8cfc6708e5e2618568d8730e,"The audience listened to the orchestra play, where were they watching the performance?",audience,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['concert hall', 'museum', 'school', 'hockey game',
       'sporting event'], dtype=object)}",A
178cb8153123716aa94f286b615149d4,Where could you find hundreds of beauty salon?,beauty salon,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['clerk', 'mall', 'strip mall', 'city', 'neighborhood'],
      dtype=object)}",D
9b26329d74a6159ab9af4f899303de39,"If my husband never helps me doing housework, what might that lead to?",doing housework,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['boredom', 'arguments', 'headache', 'exhaustion', 'park'],
      dtype=object)}",B
900492bd731f8f615ed7c08155737d44,Before racers start to run they must do what at the starting line?,run,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['learn to walk', 'walking', 'walk slowly', 'breathe',
       'stand still'], dtype=object)}",E
400fb2e196e71abb70e5b3f9aab4b9ee,"The teens were trying to hide that they get drink, but when they walked in the door their what gave it away?",get drunk,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['health', 'fall down', 'stagger', 'get arrested', 'vomit'],
      dtype=object)}",C
0bf4d64ad0eee7224acb3a4eb85accb2,What happens when to ice when it is in the sun?,ice,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['carved', 'melted', 'ice cream', 'antarctica', 'sculptured'],
      dtype=object)}",B
350292ae429060a00ff2cf64d71558e4,Where would a person light alcohol on fire to observe the reaction?,alcohol,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['supermarket', 'bar', 'pub', 'restaurants', 'chemistry lab'],
      dtype=object)}",E
094fe91b20b03c647325fa2ee94470b3,What could happen to a cat other than wanting food?,cat,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feline', 'thirsty', 'sharp claws', 'pussycat', 'hungry'],
      dtype=object)}",B
b33047f46db680a9b630c13e8ca115cc,"Dan was ditting quietly on the couch with a book in his hand.  Laurie thought that he was just focused on what he was doing, but he actually did what?",sitting quietly,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['eat', 'think', 'reading', 'meditate', 'fall asleep'], dtype=object)}",E
597d2a1c9df7962218d8b807df1f8212,What blocks sunshine?,sunshine,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['summer', 'park', 'desktop', 'sea', 'moon'], dtype=object)}",E
2c0030cc14a27be2401dcfdaa501f0fc,James found the sound relaxing.   It was so relaxing he almost did what despite his efforts?,relaxing,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['deep breathing', 'worried', 'fall asleep', 'invigorating',
       'feeling good'], dtype=object)}",C
cd39e442204d3edf7acc185fd59c8a44,The place where my linen closet is really needs repainting a light color as it only has one overhead light.,linen closet,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['house', 'home', 'pool house', 'hallway', 'bedroom'], dtype=object)}",D
